Publication Year,Author,Title,image,URL,LM,EM,DOI,analysis,proofreading,segmentation,acquisition,alignment,Executable,Dataset,Github,Publication Title
2011,"Sommer, C.; Straehle, C.; Köthe, U.; Hamprecht, F. A.",Ilastik: Interactive learning and segmentation toolkit,illastik.png,https://ieeexplore.ieee.org/abstract/document/5872394?casa_token=G5Gdb2j_kO4AAAAA:NIWlOqobIpbLex3wcaxG2Voi4hY8aJ_Z2NbPhoiwRrbEjaDixj1EYK67Nt0Rmz1iM-TZ2hU,no,no,10.1109/ISBI.2011.5872394,,,Interactive,,,no,no,yes,IEEE International Symposium on Biomedical Imaging: From Nano to Macro
2018,"Haehn, D.; Kaynig, V.; Tompkin, J.; Lichtman, J.W.; Pfister, H.",Guided proofreading of automatic segmentations for connectomics,guided_proofreading.png,https://arxiv.org/abs/1704.00848v1,no,yes,,,Guided-Automatic,,,,no,no,no,Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
2010,"Won-Ki Jeong; Beyer, Johanna; Hadwiger, Markus; Blue, Rusty; Law, Charles; Vazquez-Reina, Amelio; Reid, R Clay; Lichtman, Jeff; Pfister, Hanspeter",Ssecrett and NeuroTrace: Interactive Visualization and Analysis Tools for Large-Scale Neuroscience Data Sets,neurotrace.png,http://ieeexplore.ieee.org/document/5455822/,no,yes,10.1109/MCG.2010.56,,,Interactive,,,no,no,no,IEEE Computer Graphics and Applications
2017,"Haehn, Daniel; Hoffer, John; Matejek, Brian; Suissa-Peleg, Adi; Al-Awami, Ali; Kamentsky, Lee; Gonda, Felix; Meng, Eagon; Zhang, William; Schalek, Richard; Wilson, Alyssa; Parag, Toufiq; Beyer, Johanna; Kaynig, Verena; Jones, Thouis; Tompkin, James; Hadwiger, Markus; Lichtman, Jeff; Pfister, Hanspeter",Scalable Interactive Visualization for Connectomics,scalable_vis.png,http://www.mdpi.com/2227-9709/4/3/29,no,yes,10.3390/informatics4030029,,,,Vis-for-Acquisition,2D-Alignment,no,no,yes,Informatics
2009,"Won-Ki Jeong; Beyer, J.; Hadwiger, M.; Vazquez, A.; Pfister, H.; Whitaker, R.T.",Scalable and Interactive Segmentation and Visualization of Neural Processes in EM Datasets,interactive_seg.png,http://ieeexplore.ieee.org/document/5290767/,no,yes,10.1109/TVCG.2009.178,,,,,,no,no,no,IEEE Transactions on Visualization and Computer Graphics
2014,"Al-Awami, Ali; Beyer, Johanna; Strobelt, Hendrik; Kasthuri, Narayanan; Lichtman, Jeff W.; Pfister, Hanspeter; Hadwiger, Markus",NeuroLines: A Subway Map Metaphor for Visualizing Nanoscale Neuronal Connectivity,neurolines.png,https://ieeexplore.ieee.org/document/6875935/,no,yes,10.1109/TVCG.2014.2346312,Connectivity-Exploration,,,,,no,no,no,IEEE Transactions on Visualization and Computer Graphics
2012,"Hadwiger, M.; Beyer, J.; Won-Ki Jeong; Pfister, H.",Interactive Volume Exploration of Petascale Microscopy Data Streams Using a Visualization-Driven Virtual Memory Approach,petascale_streams.png,http://ieeexplore.ieee.org/document/6327233/,no,yes,10.1109/TVCG.2012.240,Data-Structures,,,,,no,no,no,IEEE Transactions on Visualization and Computer Graphics
2011,"Jeong, Won-Ki; Pfister, Hanspeter; Beyer, Johanna; Hadwiger, Markus",GPU-Accelerated Brain Connectivity Reconstruction and Visualization in Large-Scale Electron Micrographs,,https://linkinghub.elsevier.com/retrieve/pii/B9780123849885000498,no,yes,,,,,,,no,no,no,GPU Computing Gems Emerald Edition
2013,"Beyer, J.; Hadwiger, M.; Al-Awami, A.; Won-Ki Jeong; Kasthuri, N.; Lichtman, J. W.; Pfister, H.",Exploring the Connectome: Petascale Volume Visualization of Microscopy Data Streams,exploring_the_connectome.png,http://ieeexplore.ieee.org/document/6562713/,no,yes,10.1109/MCG.2013.55,Spatial-Exploration,,,,,no,no,no,IEEE Computer Graphics and Applications
2011,"Beyer, Johanna; Hadwiger, Markus; Jeong, Won-Ki; Pfister, Hanspeter; Lichtman, Jeff",Demand-driven volume rendering of terascale EM data,,http://dl.acm.org/citation.cfm?doid=2037826.2037901,no,yes,10.1145/2037826.2037901,,,,,,no,no,no,ACM SIGGRAPH 2011 Talks on - SIGGRAPH '11
2014,"Haehn, Daniel; Knowles-Barley, Seymour; Roberts, Mike; Beyer, Johanna; Kasthuri, Narayanan; Lichtman, Jeff W.; Pfister, Hanspeter",Design and Evaluation of Interactive Proofreading Tools for Connectomics,interactive_proofreading.png,http://ieeexplore.ieee.org/document/6875931/,no,yes,10.1109/TVCG.2014.2346371,,Semi-Automatic,,,,no,no,no,IEEE Transactions on Visualization and Computer Graphics
2013,"Beyer, Johanna; Al-Awami, Ali; Kasthuri, Narayanan; Lichtman, Jeff W.; Pfister, Hanspeter; Hadwiger, Markus",ConnectomeExplorer: Query-Guided Visual Analysis of Large Volumetric Neuroscience Data,connectome_explorer.png,http://ieeexplore.ieee.org/document/6634132/,no,yes,10.1109/TVCG.2013.142,Spatial-Exploration,,,,,no,no,no,IEEE Transactions on Visualization and Computer Graphics
2018,"Mohammed, Haneen; Al-Awami, Ali K.; Beyer, Johanna; Cali, Corrado; Magistretti, Pierre; Pfister, Hanspeter; Hadwiger, Markus",Abstractocyte: A Visual Tool for Exploring Nanoscale Astroglial Cells,abstractocyte.png,http://ieeexplore.ieee.org/document/8017643/,no,yes,10.1109/TVCG.2017.2744278,Vis-focused-Analysis,,,,,no,no,no,IEEE Transactions on Visualization and Computer Graphics
2019,"Beyer, Johanna; Mohammed, Haneen; Agus, Marco; Al-Awami, Ali K.; Pfister, Hanspeter; Hadwiger, Markus",Culling for Extreme-Scale Segmentation Volumes: A Hybrid Deterministic and Probabilistic Approach,culling.png,https://ieeexplore.ieee.org/document/8444102/,no,yes,10.1109/TVCG.2018.2864847,Spatial-Exploration,,,,,no,no,no,IEEE Transactions on Visualization and Computer Graphics
2021,"Ghahremani, Parmida; Boorboor, Saeed; Mirhosseini, Pooya; Gudisagar, Chetan; Ananth, Mala; Talmage, David; Role, Lorna W; Kaufman, Arie E.",NeuroConstruct: 3D Reconstruction and Visualization of Neurites in Optical Microscopy Brain Images,neuroconstruct.png,https://ieeexplore.ieee.org/abstract/document/9529035?casa_token=hoG9rDZsZlUAAAAA:Z4uOw7aPKe85jcRh0Jo1R9yiXgqDjhGv25GFFsHkrN96muTlO04ulffAuWpyCOGCyGhf-C4,yes,no,10.1109/TVCG.2021.3109460,Spatial-Exploration,,Interactive,,,no,no,no,IEEE Transactions on Visualization and Computer Graphics
2019,"Boorboor, Saeed; Jadhav, Shreeraj; Ananth, Mala; Talmage, David; Role, Lorna; Kaufman, Arie",Visualization of Neuronal Structures in Wide-Field Microscopy Brain Images,WF-visualization.png,https://ieeexplore.ieee.org/abstract/document/8440805?casa_token=kQen3PpIEmoAAAAA:5tMPtGNJxbXsgExBrhOjsqwl73vtEsizewlTN-towNwJ9YlWgxXQXFgj1iZk6PvfG7q0KbU,yes,no,10.1109/TVCG.2018.2864852,Spatial-Exploration,,,Microscale,,no,no,no,IEEE Transactions on Visualization and Computer Graphics
2018,"Zhou, Zhi; Kuo, Hsien-Chi; Peng, Hanchuan; Long, Fuhui",DeepNeuron: an open deep learning toolbox for neuron tracing,deepneuron.png,https://doi.org/10.1186/s40708-018-0081-2,yes,no,10.1186/s40708-018-0081-2,,,Automatic,,,no,no,no,Brain Informatics
2017,"Li, Rongjian; Zeng, Tao; Peng, Hanchuan; Ji, Shuiwang",Deep Learning Segmentation of Optical Microscopy Images Improves 3-D Neuron Reconstruction,dl-segmentation.png,http://ieeexplore.ieee.org/document/7874113/,yes,no,10.1109/TMI.2017.2679713,,,Automatic,,,no,no,no,IEEE Transactions on Medical Imaging
2015,"Kasthuri, Narayanan; Hayworth, Kenneth Jeffrey; Berger, Daniel Raimund; Schalek, Richard Lee; Conchello, José Angel; et al.",Saturated Reconstruction of a Volume of Neocortex,saturated-reconstruction.png,https://linkinghub.elsevier.com/retrieve/pii/S0092867415008247,no,yes,10.1016/j.cell.2015.06.054,,,,,,no,yes,no,Cell
2021,"Consortium, MICrONS; Bae, J. Alexander; Baptiste, Mahaly; Bodor, Agnes L.; Brittain, Derrick; Buchanan, JoAnn; Bumbarger, Daniel J.; et al.",Functional connectomics spanning multiple areas of mouse visual cortex,functional.png,https://www.biorxiv.org/content/10.1101/2021.07.28.454025v2,no,yes,,,,,,,no,yes,no,
2021,"Shapson-Coe, Alexander; Januszewski, Michał; Berger, Daniel R.; Pope, Art; Wu, Yuelong; Blakely, Tim; Schalek, Richard L.; Li, Peter H.; Wang, Shuohong; Maitin-Shepard, Jeremy; Karlupia, Neha; Dorkenwald; et al. ",A connectomic study of a petascale fragment of human cerebral cortex,petascale.png,https://www.biorxiv.org/content/10.1101/2021.05.29.446289v4,no,yes,,,,,,,no,yes,no,
2016,"Toharia, Pablo; Robles, Oscar D.; Fernaud-Espinosa, Isabel; Makarova, Julia; Galindo, Sergio E.; Rodriguez, Angel; Pastor, Luis; Herreras, Oscar; DeFelipe, Javier; Benavides-Piccione, Ruth",PyramidalExplorer: A New Interactive Tool to Explore Morpho-Functional Relations of Human Pyramidal Neurons,pyramidal-explorer.png,https://www.frontiersin.org/article/10.3389/fnana.2015.00159,yes,yes,10.3389/fnana.2015.00159,Spatial-Exploration,,,,,no,no,no,Frontiers in Neuroanatomy
2015,"Gray Roncal, William; Kleissas, Dean; Vogelstein, Joshua; Manavalan, Priya; Lillaney, Kunal; Pekala, Michael; Burns, Randal; Vogelstein, R.; Priebe, Carey; Chevillet, Mark; Hager, Gregory",An Automated Images-to-Graphs Framework for High Resolution Connectomics,graph.png,https://www.frontiersin.org/article/10.3389/fninf.2015.00020,no,yes,10.3389/fninf.2015.00020,,,Connectivity-Extraction,,,no,no,no,Frontiers in Neuroinformatics
2013,"Burns, Randal; Kasthuri, Narayanan; Kazhdan, Michael; Smith, Stephen J.; Kleissas, Dean; Perlman, Eric; Chung, Kwanghun; Weiler, Nicholas C.; Lichtman, Jeff; Szalay, Alexander S.; et al.",The open connectome project data cluster: scalable analysis and vision for high-throughput neuroscience,ocp.png,http://dl.acm.org/citation.cfm?doid=2484838.2484870,no,yes,10.1145/2484838.2484870,Data-Structures,,,,,no,yes,no,Proceedings of the 25th International Conference on Scientific and Statistical Database Management - SSDBM
2013,"Vogelstein, J. T.; Roncal, W. G.; Vogelstein, R. J.; Priebe, C. E.",Graph Classification Using Signal-Subgraphs: Applications in Statistical Connectomics,signal-subgraphs.png,http://ieeexplore.ieee.org/document/6341752/,no,no,10.1109/TPAMI.2012.235,,,Connectivity-Extraction,,,no,no,no,IEEE Transactions on Pattern Analysis and Machine Intelligence
2020,"Xu, C. Shan; Januszewski, Michal; Lu, Zhiyuan; Takemura, Shin-ya; Hayworth, Kenneth J.; Huang, Gary; Shinomiya, Kazunori; Maitin-Shepard, Jeremy; Ackerman, David; Berg, Stuart; Blakely, et al.",A Connectome of the Adult Drosophila Central Brain,hemibrain.png,https://www.biorxiv.org/content/10.1101/2020.01.21.911859v1,no,yes,,,,,,,no,yes,no,
2021,"Matelsky, Jordan K.; Reilly, Elizabeth P.; Johnson, Erik C.; Stiso, Jennifer; Bassett, Danielle S.; Wester, Brock A.; Gray-Roncal, William",DotMotif: an open-source tool for connectome subgraph isomorphism search and graph queries,dotmotif.png,https://www.nature.com/articles/s41598-021-91025-5,no,no,10.1038/s41598-021-91025-5,,,Connectivity-Extraction,,,no,no,yes,Scientific Reports
2020,"Clements, Jody; Dolafi, Tom; Umayam, Lowell; Neubarth, Nicole L.; Berg, Stuart; Scheffer, Louis K.; Plaza, Stephen M.",neuPrint: Analysis Tools for EM Connectomics,neuprint.png,https://www.biorxiv.org/content/10.1101/2020.01.16.909465v1,no,yes,,Connectivity-Exploration,,,,,no,no,yes,
2020,"Scheffer, Louis K; Xu, C Shan; Januszewski, Michal; Lu, Zhiyuan; Takemura, Shin-ya; Hayworth, Kenneth J; Huang, Gary B; Shinomiya, Kazunori; Maitlin-Shepard, Jeremy; Berg, Stuart; Clements, Jody; et al.",A connectome and analysis of the adult Drosophila central brain,fruit-fly-connectome.png,https://elifesciences.org/articles/57443,no,yes,10.7554/eLife.57443,,,Connectivity-Extraction,,,no,no,no,eLife
2005,"Song, Sen; Sjöström, Per Jesper; Reigl, Markus; Nelson, Sacha; Chklovskii, Dmitri B",Highly Nonrandom Features of Synaptic Connectivity in Local Cortical Circuits,non-random-features.png,https://dx.plos.org/10.1371/journal.pbio.0030068,no,no,10.1371/journal.pbio.0030068,,,Connectivity-Extraction,,,no,no,no,PLoS Biology
2015,"Calì, C; Boges, DJ; Holst, GR; Kreshuk, A; Hamprecht, FA; Srinivasan, M; Lehvaslaiho, H; Magistretti, PJ",Ultrastructural analysis of glycogen in hippocampal astrocytic processes using 3D virtual reality,,https://www.frontiersin.org/10.3389/conf.fnins.2015.89.00005/event_abstract,no,yes,,Vis-focused-Analysis,,,,,no,no,no,Front. Neurosci. Conference Abstract: 11th National Congress of the Belgian Society for Neuroscience. doi: 10.3389/conf. fnins
2020,"Boges, Daniya; Agus, Marco; Sicat, Ronell; Magistretti, Pierre J.; Hadwiger, Markus; Calì, Corrado",Virtual reality framework for editing and exploring medial axis representations of nanometric scale neural structures,vr-skeletons.png,https://linkinghub.elsevier.com/retrieve/pii/S0097849320300789,no,yes,10.1016/j.cag.2020.05.024,,Manual,Interactive,,,no,no,no,Computers & Graphics
2019,"Boges, Daniya; Calì, Corrado; Magistretti, Pierre J.; Hadwiger, Markus; Sicat, Ronell; Agus, Marco","Immersive Environment for Creating, Proofreading, and Exploring Skeletons of Nanometric Scale Neural Structures",vr-skeleton-2.png,https://diglib.eg.org/handle/10.2312/stag20191360,no,yes,10.2312/STAG.20191360,,Manual,,,,no,no,no,Smart Tools and Apps for Graphics - Eurographics Italian Chapter Conference
2018,"Agus, Marco; Boges, Daniya; Gagnon, Nicolas; Magistretti, Pierre J.; Hadwiger, Markus; Calí, Corrado",GLAM: Glycogen-derived Lactate Absorption Map for visual analysis of dense and sparse surface reconstructions of rodent brain structures on desktop systems and virtual environments,glam.png,https://linkinghub.elsevier.com/retrieve/pii/S009784931830058X,no,yes,10.1016/j.cag.2018.04.007,Vis-focused-Analysis,,,,,no,no,no,Computers & Graphics
1990,"Glaser, Jacob R.; Glaser, Edmund M.",Neuron imaging with neurolucida — A PC-based system for image combining microscopy,neurolucida.png,https://www.sciencedirect.com/science/article/pii/089561119090105K,yes,no,https://doi.org/10.1016/0895-6111(90)90105-K,,,Interactive,,,no,no,no,Computerized Medical Imaging and Graphics
2021,"Claudi, Federico; Tyson, Adam L; Petrucco, Luigi; Margrie, Troy W; Portugues, Ruben; Branco, Tiago",Visualizing anatomically registered data with brainrender,brainrender.png,https://elifesciences.org/articles/65751,yes,no,10.7554/eLife.65751,Communication,,,,,no,no,yes,eLife
2011,"Gerhard, Stephan; Daducci, Alessandro; Lemkaddem, Alia; Meuli, Reto; Thiran, Jean-Philippe; Hagmann, Patric","The Connectome Viewer Toolkit: An Open Source Framework to Manage, Analyze, and Visualize Connectomes",,https://www.frontiersin.org/article/10.3389/fninf.2011.00003,no,no,10.3389/fninf.2011.00003,,,,,,no,no,no,Frontiers in Neuroinformatics
2018,"Ganglberger, Florian; Swoboda, Nicolas; Frauenstein, Lisa; Kaczanowska, Joanna; Haubensak, Wulf; Bühler, Katja",Iterative Exploration of Big Brain Network Data,,https://diglib.eg.org:443/xmlui/handle/10.2312/vcbm20181231,no,no,,,,,,,no,no,no,
2019,"Ganglberger, Florian; Swoboda, Nicolas; Frauenstein, Lisa; Kaczanowska, Joanna; Haubensak, Wulf; Bühler, Katja",BrainTrawler: A visual analytics framework for iterative exploration of heterogeneous big brain data,braintrawler.png,https://www.sciencedirect.com/science/article/abs/pii/S0097849319300949,yes,no,,Vis-focused-Analysis,,,,,no,no,no,Computers & Graphics
2019,"Kunst, Michael; Laurell, Eva; Mokayes, Nouwar; Kramer, Anna; Kubo, Fumi; Fernandes, António M; Förster, Dominique; Dal Maschio, Marco; Baier, Herwig",A cellular-resolution atlas of the larval zebrafish brain,zebrafish.png,https://www.sciencedirect.com/science/article/pii/S0896627319303915,no,yes,,Connectivity-Exploration,,,,,no,no,no,Neuron
2021,"Pastor, Luis; Bayona, Sofia; Brito, Juan; Cuevas, María; Fernaud, Isabel; Galindo, Sergio; García-Cantero, Juan; Quevedo, Francisco; Mata, Susana; Robles, Oscar; Rodríguez, Angel; Toharia, Pablo; Zdravkovic, Ana",A Unified Framework for Neuroscience Morphological Data Visualization,unified.png,https://www.mdpi.com/2076-3417/11/10/4652,no,no,10.3390/app11104652,Vis-focused-Analysis,,,,,no,no,no,Applied Sciences
2014,"Swoboda, Nicolas; Moosburner, Judith; Bruckner, Stefan; Yu, Jai Y.; Dickson, Barry J.; Bühler, Katja",Visual and Quantitative Analysis of Higher Order Arborization Overlaps for Neural Circuit Research,arborizations.png,https://diglib.eg.org:443/xmlui/handle/10.2312/vcbm.20141189.107-116,yes,no,,,,Connectivity-Extraction,,,no,no,no,
2017,"Swoboda, N.; Moosburner, J.; Bruckner, S.; Yu, J. Y.; Dickson, B. J.; Bühler, K.",Visualization and Quantification for Interactive Analysis of Neural Connectivity in Drosophila,connectivity-in_drosophila.png,https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.12792,yes,no,10.1111/cgf.12792,,,Connectivity-Extraction,,,no,no,no,Computer Graphics Forum
2017,"Boergens, Kevin M.; Berning, Manuel; Bocklisch, Tom; Bräunlein, Dominic; Drawitsch, Florian; Frohnhofen, Johannes; Herold, Tom; Otto, Philipp; Rzepka, Norman; Werkmeister, Thomas; Werner, Daniel; et al.",webKnossos: efficient online 3D data annotation for connectomics,webknossos.png,https://www.nature.com/articles/nmeth.4331,no,yes,10.1038/nmeth.4331,,Manual,Provenance-Tracking,,,no,no,yes,Nature Methods
2009,"Saalfeld, Stephan; Cardona, Albert; Hartenstein, Volker; Tomančák, Pavel",CATMAID: collaborative annotation toolkit for massive amounts of image data,catmaid.png,https://academic.oup.com/bioinformatics/article/25/15/1984/210794?login=true,no,yes,,Connectivity-Exploration,Manual,Interactive,,,no,no,yes,Bioinformatics
2018,"Zhao, Ting; Olbris, Donald J.; Yu, Yang; Plaza, Stephen M.","NeuTu: Software for Collaborative, Large-Scale, Segmentation-Based Connectome Reconstruction",neutu.png,https://www.frontiersin.org/article/10.3389/fncir.2018.00101,no,yes,10.3389/fncir.2018.00101,,Semi-Automatic,Connectivity-Extraction,,,no,no,yes,Frontiers in Neural Circuits
2018,"Jorstad, Anne; Blanc, Jérôme; Knott, Graham",NeuroMorph: a software toolset for 3D analysis of neurite morphology and connectivity,neuromorph.png,https://neuromorph.epfl.ch/,yes,yes,,Vis-focused-Analysis,,,,,no,no,yes,Frontiers in neuroanatomy
2021,"Al-Thelaya, Khaled; Agus, Marco; Gilal, Nauman Ullah; Yang, Yin; Pintore, Giovanni; Gobbetti, Enrico; Calí, Corrado; Magistretti, Pierre J.; Mifsud, William; Schneider, Jens",InShaDe: Invariant Shape Descriptors for visual 2D and 3D cellular and nuclear shape analysis and classification,inshade.png,https://www.sciencedirect.com/science/article/pii/S0097849321000790,no,yes,https://doi.org/10.1016/j.cag.2021.04.037,Vis-focused-Analysis,,,,,no,no,no,Computers & Graphics
2022,"Dorkenwald, Sven; McKellar, Claire E.; Macrina, Thomas; Kemnitz, Nico; Lee, Kisuk; Lu, Ran; Wu, Jingpeng; Popovych, Sergiy; Mitchell, Eric; Nehoran, Barak; Jia, Zhen; Bae, J. Alexander; Mu, Shang; et al.",FlyWire: online community for whole-brain connectomics,flywire.png,https://www.nature.com/articles/s41592-021-01330-0,no,yes,10.1038/s41592-021-01330-0,,Crowdsourced,,,,no,no,yes,Nature Methods
2016,"Costa, Marta; Manton, James D; Ostrovsky, Aaron D; Prohaska, Steffen; Jefferis, Gregory SXE","NBLAST: rapid, sensitive comparison of neuronal structure and construction of neuron family databases",nblast.png,https://www.sciencedirect.com/science/article/pii/S0896627316302653,yes,yes,,Vis-focused-Analysis,,,,,no,no,no,Neuron
